user_id,timestamp,anomaly_type,probable_reason,bytes_sent,source_ip,event_type
user_018,2025-01-03 08:22:02,brute_force_login,много неуспешных входов,557.57,10.20.61.37,login
user_099,2025-01-03 09:04:31,unusual_ip_change,необычная смена IP-адреса,1095.75,185.220.100.199,login
user_051,2025-01-03 09:23:10,data_exfiltration,резкий рост исходящего трафика,102453.32,10.10.205.145,file_access
user_020,2025-01-03 09:30:20,brute_force_login,много неуспешных входов,726.45,10.10.248.18,login
user_010,2025-01-03 10:01:47,data_exfiltration,резкий рост исходящего трафика,89837.14,10.10.174.180,file_access
user_021,2025-01-03 10:16:42,data_exfiltration,резкий рост исходящего трафика,108407.45,10.20.116.174,file_access
user_023,2025-01-03 10:36:04,brute_force_login,много неуспешных входов,573.26,10.10.24.70,login
user_002,2025-01-03 10:42:12,data_exfiltration,резкий рост исходящего трафика,85511.76,10.20.188.85,file_access
user_053,2025-01-03 10:57:45,unusual_ip_change,резкий рост исходящего трафика,3224.78,185.220.100.32,login
user_069,2025-01-03 10:59:17,data_exfiltration,резкий рост исходящего трафика,75222.53,10.20.40.96,file_access
user_095,2025-01-03 11:09:18,unusual_ip_change,необычная смена IP-адреса,1290.7,185.220.100.107,login
user_003,2025-01-03 11:56:03,data_exfiltration,резкий рост исходящего трафика,92039.53,10.10.46.193,file_access
user_081,2025-01-03 12:02:09,brute_force_login,много неуспешных входов,392.2,10.20.217.220,login
user_029,2025-01-03 12:56:06,unusual_ip_change,необычная смена IP-адреса,1269.93,185.220.100.182,login
user_064,2025-01-03 13:33:22,data_exfiltration,резкий рост исходящего трафика,139368.39,10.20.23.25,file_access
user_075,2025-01-03 13:33:53,data_exfiltration,резкий рост исходящего трафика,201872.18,10.20.214.56,file_access
user_030,2025-01-03 13:55:46,unusual_ip_change,необычная смена IP-адреса,783.72,185.220.100.35,login
user_084,2025-01-03 14:19:53,brute_force_login,много неуспешных входов,719.99,10.20.151.137,login
user_099,2025-01-03 14:38:17,brute_force_login,много неуспешных входов,899.75,10.10.106.243,login
user_012,2025-01-03 14:42:59,unusual_ip_change,необычная смена IP-адреса,2564.23,185.220.100.121,login
user_077,2025-01-03 16:56:26,data_exfiltration,резкий рост исходящего трафика,64087.47,10.10.206.233,file_access
user_041,2025-01-03 17:08:54,unusual_ip_change,необычная смена IP-адреса,1419.43,185.220.100.132,login
user_006,2025-01-03 17:13:20,data_exfiltration,резкий рост исходящего трафика,92785.09,10.10.119.123,file_access
user_077,2025-01-03 17:38:25,unusual_ip_change,необычная смена IP-адреса,1356.16,185.220.100.11,login
user_003,2025-01-03 17:47:24,brute_force_login,много неуспешных входов,934.73,10.10.46.193,login
user_037,2025-01-03 17:50:06,brute_force_login,много неуспешных входов,686.27,10.10.11.128,login
user_034,2025-01-03 18:02:37,unusual_ip_change,необычная смена IP-адреса,1248.73,185.220.100.132,login
user_053,2025-01-03 18:19:56,data_exfiltration,резкий рост исходящего трафика,34738.03,10.10.72.71,file_access
user_040,2025-01-03 18:21:45,brute_force_login,много неуспешных входов,441.64,10.10.205.213,login
user_040,2025-01-03 18:39:38,brute_force_login,много неуспешных входов,671.26,10.10.205.213,login
user_093,2025-01-03 18:51:33,data_exfiltration,резкий рост исходящего трафика,89303.98,10.20.80.131,file_access
user_009,2025-01-03 23:15:58,unusual_night_activity,активность в нетипичное ночное время,4489.91,10.20.213.8,file_access
user_071,2025-01-04 02:00:48,unusual_night_activity,активность в нетипичное ночное время,3773.52,10.20.252.138,file_access
user_080,2025-01-04 02:00:59,unusual_night_activity,активность в нетипичное ночное время,2211.0,10.10.214.127,file_access
user_090,2025-01-04 02:23:40,unusual_night_activity,активность в нетипичное ночное время,4745.71,10.10.146.139,file_access
user_013,2025-01-04 04:46:58,unusual_night_activity,активность в нетипичное ночное время,4566.47,10.20.143.39,email_access
user_030,2025-01-04 05:21:19,unusual_night_activity,активность в нетипичное ночное время,2011.55,10.20.82.27,file_access
user_022,2025-01-04 08:36:06,brute_force_login,много неуспешных входов,690.48,10.10.45.71,login
user_054,2025-01-04 08:57:16,unusual_ip_change,необычная смена IP-адреса,961.69,185.220.100.228,login
user_092,2025-01-04 10:19:19,data_exfiltration,резкий рост исходящего трафика,100719.17,10.10.131.66,file_access
user_005,2025-01-04 10:23:04,unusual_ip_change,необычная смена IP-адреса,1916.55,185.220.100.95,login
user_068,2025-01-04 10:27:15,unusual_ip_change,необычная смена IP-адреса,825.54,185.220.100.222,login
user_020,2025-01-04 10:38:42,unusual_ip_change,необычная смена IP-адреса,730.65,185.220.100.179,login
user_018,2025-01-04 10:45:56,unusual_ip_change,необычная смена IP-адреса,1643.74,185.220.100.81,login
user_083,2025-01-04 11:28:17,brute_force_login,много неуспешных входов,474.73,10.10.56.30,login
user_027,2025-01-04 12:01:02,brute_force_login,много неуспешных входов,763.66,10.20.146.91,login
user_090,2025-01-04 12:13:59,unusual_ip_change,необычная смена IP-адреса,913.86,185.220.100.175,login
user_096,2025-01-04 12:59:46,brute_force_login,много неуспешных входов,451.98,10.20.61.79,login
user_033,2025-01-04 13:12:29,brute_force_login,много неуспешных входов,587.28,10.10.76.130,login
user_044,2025-01-04 13:23:11,data_exfiltration,резкий рост исходящего трафика,69288.08,10.20.162.94,file_access
user_010,2025-01-04 13:24:04,data_exfiltration,резкий рост исходящего трафика,25933.38,10.20.213.39,file_access
user_041,2025-01-04 13:59:49,data_exfiltration,резкий рост исходящего трафика,46238.02,10.20.77.14,file_access
user_086,2025-01-04 14:05:59,unusual_ip_change,необычная смена IP-адреса,1628.87,185.220.100.45,login
user_062,2025-01-04 14:10:02,unusual_ip_change,необычная смена IP-адреса,1310.1,185.220.100.32,login
user_078,2025-01-04 14:13:43,data_exfiltration,резкий рост исходящего трафика,59550.93,10.10.1.109,file_access
user_043,2025-01-04 14:24:23,data_exfiltration,резкий рост исходящего трафика,81100.7,10.20.107.76,file_access
user_094,2025-01-04 14:40:59,unusual_ip_change,необычная смена IP-адреса,1033.82,185.220.100.23,login
user_086,2025-01-04 15:12:37,brute_force_login,много неуспешных входов,983.13,10.10.166.49,login
user_047,2025-01-04 15:18:20,unusual_ip_change,необычная смена IP-адреса,651.06,185.220.100.236,login
user_017,2025-01-04 15:51:08,unusual_ip_change,необычная смена IP-адреса,1149.8,185.220.100.126,login
user_038,2025-01-04 16:14:32,brute_force_login,много неуспешных входов,476.43,10.10.128.48,login
user_087,2025-01-04 16:15:12,unusual_ip_change,необычная смена IP-адреса,791.58,185.220.100.195,login
user_005,2025-01-04 16:15:33,data_exfiltration,резкий рост исходящего трафика,121308.21,10.10.17.107,file_access
user_004,2025-01-04 16:18:55,brute_force_login,много неуспешных входов,733.54,10.20.227.68,login
user_041,2025-01-04 16:40:53,unusual_ip_change,необычная смена IP-адреса,1573.41,185.220.100.132,login
user_014,2025-01-04 17:03:54,brute_force_login,много неуспешных входов,449.86,10.10.54.244,login
user_044,2025-01-04 17:15:19,unusual_ip_change,необычная смена IP-адреса,1605.2,185.220.100.195,login
user_003,2025-01-04 17:44:17,brute_force_login,много неуспешных входов,650.46,10.20.237.55,login
user_017,2025-01-04 18:17:31,data_exfiltration,резкий рост исходящего трафика,37593.64,10.20.41.79,file_access
user_046,2025-01-04 18:47:13,data_exfiltration,резкий рост исходящего трафика,87128.89,10.10.154.99,file_access
user_052,2025-01-04 18:52:28,brute_force_login,много неуспешных входов,514.68,10.10.217.220,login
user_030,2025-01-05 01:28:55,unusual_night_activity,активность в нетипичное ночное время,2291.76,10.10.186.23,web_request
user_007,2025-01-05 03:49:13,unusual_night_activity,активность в нетипичное ночное время,1840.75,10.20.94.217,web_request
user_008,2025-01-05 05:15:00,unusual_night_activity,активность в нетипичное ночное время,2048.02,10.10.121.200,file_access
user_007,2025-01-05 05:25:48,unusual_night_activity,активность в нетипичное ночное время,4506.81,10.20.94.217,email_access
user_078,2025-01-05 05:32:47,unusual_night_activity,активность в нетипичное ночное время,2850.98,10.10.1.109,web_request
user_099,2025-01-05 08:27:10,brute_force_login,много неуспешных входов,518.43,10.20.214.17,login
user_042,2025-01-05 08:45:01,unusual_ip_change,необычная смена IP-адреса,1256.82,185.220.100.15,login
user_100,2025-01-05 09:25:54,brute_force_login,много неуспешных входов,304.02,10.10.253.123,login
user_020,2025-01-05 09:57:31,data_exfiltration,резкий рост исходящего трафика,68232.16,10.10.248.18,file_access
user_072,2025-01-05 10:17:05,brute_force_login,много неуспешных входов,1140.71,10.10.217.181,login
user_097,2025-01-05 10:23:19,brute_force_login,много неуспешных входов,722.28,10.20.197.163,login
user_036,2025-01-05 10:32:41,brute_force_login,много неуспешных входов,571.18,10.10.61.181,login
user_100,2025-01-05 10:32:57,unusual_ip_change,необычная смена IP-адреса,1675.26,185.220.100.115,login
user_091,2025-01-05 10:49:29,brute_force_login,много неуспешных входов,770.23,10.20.140.147,login
user_037,2025-01-05 11:11:05,data_exfiltration,резкий рост исходящего трафика,54154.32,10.10.11.128,file_access
user_092,2025-01-05 12:12:49,brute_force_login,много неуспешных входов,417.88,10.10.131.66,login
user_055,2025-01-05 12:13:10,brute_force_login,много неуспешных входов,414.36,10.20.205.75,login
user_028,2025-01-05 13:06:03,data_exfiltration,резкий рост исходящего трафика,37852.39,10.20.72.221,file_access
user_069,2025-01-05 13:14:27,data_exfiltration,резкий рост исходящего трафика,41371.33,10.20.40.96,file_access
user_042,2025-01-05 13:29:34,data_exfiltration,резкий рост исходящего трафика,213173.84,10.10.73.88,file_access
user_003,2025-01-05 13:34:51,unusual_ip_change,необычная смена IP-адреса,1314.82,185.220.100.116,login
user_011,2025-01-05 15:24:04,unusual_ip_change,необычная смена IP-адреса,2589.02,185.220.100.67,login
user_042,2025-01-05 15:53:55,brute_force_login,много неуспешных входов,294.78,10.10.73.88,login
user_072,2025-01-05 17:11:33,brute_force_login,много неуспешных входов,1042.47,10.10.217.181,login
user_058,2025-01-05 23:26:15,unusual_night_activity,активность в нетипичное ночное время,1674.35,10.10.59.143,file_access
user_082,2025-01-05 23:27:05,unusual_night_activity,активность в нетипичное ночное время,2680.07,10.20.133.197,file_access
user_046,2025-01-05 23:36:27,unusual_night_activity,активность в нетипичное ночное время,7181.77,10.10.154.99,web_request
user_045,2025-01-05 23:44:28,unusual_night_activity,активность в нетипичное ночное время,3384.83,10.20.59.147,web_request
user_085,2025-01-06 01:16:57,unusual_night_activity,активность в нетипичное ночное время,1778.95,10.10.63.148,file_access
user_036,2025-01-06 02:44:58,unusual_night_activity,активность в нетипичное ночное время,3010.76,10.10.61.181,file_access
user_072,2025-01-06 03:08:08,unusual_night_activity,активность в нетипичное ночное время,2844.47,10.10.217.181,email_access
user_074,2025-01-06 04:06:50,unusual_night_activity,активность в нетипичное ночное время,5492.77,10.10.77.79,file_access
user_048,2025-01-06 04:20:42,unusual_night_activity,активность в нетипичное ночное время,3405.52,10.20.121.181,email_access
user_015,2025-01-06 05:30:47,unusual_night_activity,активность в нетипичное ночное время,4958.82,10.20.169.112,file_access
user_032,2025-01-06 05:42:02,unusual_night_activity,активность в нетипичное ночное время,3564.03,10.10.243.232,file_access
user_088,2025-01-06 08:04:54,data_exfiltration,резкий рост исходящего трафика,105747.14,10.20.248.168,file_access
user_027,2025-01-06 08:09:59,data_exfiltration,резкий рост исходящего трафика,51775.58,10.10.41.63,file_access
user_042,2025-01-06 08:36:21,brute_force_login,много неуспешных входов,727.3,10.20.127.201,login
user_070,2025-01-06 09:03:32,data_exfiltration,резкий рост исходящего трафика,103359.49,10.10.98.35,file_access
user_098,2025-01-06 09:09:16,brute_force_login,много неуспешных входов,743.81,10.20.85.107,login
user_014,2025-01-06 09:15:57,brute_force_login,много неуспешных входов,614.04,10.20.254.21,login
user_087,2025-01-06 09:35:00,data_exfiltration,резкий рост исходящего трафика,57906.48,10.10.249.39,file_access
user_061,2025-01-06 10:08:33,data_exfiltration,резкий рост исходящего трафика,28981.42,10.20.188.29,file_access
user_099,2025-01-06 10:11:36,data_exfiltration,резкий рост исходящего трафика,109503.48,10.20.214.17,file_access
user_076,2025-01-06 10:17:17,brute_force_login,много неуспешных входов,622.36,10.20.174.64,login
user_066,2025-01-06 10:31:18,brute_force_login,много неуспешных входов,519.81,10.20.132.136,login
user_042,2025-01-06 10:58:15,data_exfiltration,резкий рост исходящего трафика,22872.75,10.20.127.201,file_access
user_073,2025-01-06 10:58:56,data_exfiltration,резкий рост исходящего трафика,173805.44,10.10.184.246,file_access
user_096,2025-01-06 11:00:15,unusual_ip_change,необычная смена IP-адреса,1603.41,185.220.100.151,login
user_059,2025-01-06 11:01:06,brute_force_login,много неуспешных входов,325.82,10.20.242.223,login
user_060,2025-01-06 11:38:08,brute_force_login,много неуспешных входов,948.68,10.10.137.17,login
user_060,2025-01-06 11:53:06,unusual_ip_change,необычная смена IP-адреса,1184.85,185.220.100.164,login
user_049,2025-01-06 12:15:59,brute_force_login,много неуспешных входов,578.99,10.20.235.188,login
user_058,2025-01-06 13:46:47,unusual_ip_change,необычная смена IP-адреса,1072.62,185.220.100.96,login
user_022,2025-01-06 13:51:14,unusual_ip_change,необычная смена IP-адреса,2108.38,185.220.100.189,login
user_036,2025-01-06 14:20:25,unusual_ip_change,необычная смена IP-адреса,840.68,185.220.100.206,login
user_065,2025-01-06 14:35:11,brute_force_login,много неуспешных входов,575.38,10.20.144.159,login
user_042,2025-01-06 14:55:06,unusual_ip_change,необычная смена IP-адреса,940.38,185.220.100.15,login
user_040,2025-01-06 15:22:08,data_exfiltration,резкий рост исходящего трафика,107609.61,10.10.205.213,file_access
user_019,2025-01-06 15:43:11,unusual_ip_change,необычная смена IP-адреса,1068.41,185.220.100.190,login
user_013,2025-01-06 16:48:33,data_exfiltration,резкий рост исходящего трафика,53351.29,10.20.143.39,file_access
user_099,2025-01-06 16:50:51,unusual_ip_change,необычная смена IP-адреса,1258.7,185.220.100.199,login
user_029,2025-01-06 16:51:35,brute_force_login,много неуспешных входов,672.95,10.20.27.211,login
user_029,2025-01-06 17:59:54,unusual_ip_change,необычная смена IP-адреса,1458.79,185.220.100.182,login
user_087,2025-01-06 18:09:58,brute_force_login,много неуспешных входов,467.06,10.20.34.91,login
user_026,2025-01-06 18:44:57,data_exfiltration,резкий рост исходящего трафика,137354.88,10.10.245.90,file_access
user_060,2025-01-06 22:55:04,unusual_night_activity,активность в нетипичное ночное время,5948.46,10.20.125.63,file_access
user_067,2025-01-06 23:09:20,unusual_night_activity,активность в нетипичное ночное время,2855.96,10.10.184.157,web_request
user_039,2025-01-06 23:41:58,unusual_night_activity,активность в нетипичное ночное время,4501.31,10.10.75.237,file_access
user_054,2025-01-07 01:20:31,unusual_night_activity,активность в нетипичное ночное время,2537.83,10.20.103.116,file_access
user_090,2025-01-07 02:07:10,unusual_night_activity,активность в нетипичное ночное время,3033.62,10.10.146.139,file_access
user_089,2025-01-07 02:17:32,unusual_night_activity,активность в нетипичное ночное время,1176.37,10.20.9.68,file_access
user_043,2025-01-07 03:01:06,unusual_night_activity,активность в нетипичное ночное время,3034.12,10.10.191.174,web_request
user_022,2025-01-07 03:56:43,unusual_night_activity,активность в нетипичное ночное время,1522.81,10.20.5.9,file_access
user_025,2025-01-07 04:05:02,unusual_night_activity,активность в нетипичное ночное время,3438.2,10.20.148.190,file_access
user_018,2025-01-07 04:38:31,unusual_night_activity,активность в нетипичное ночное время,5249.2,10.20.61.37,email_access
user_084,2025-01-07 05:47:30,unusual_night_activity,активность в нетипичное ночное время,1652.93,10.20.151.137,web_request
user_081,2025-01-07 08:26:03,data_exfiltration,резкий рост исходящего трафика,54576.91,10.10.22.13,file_access
user_093,2025-01-07 08:36:21,unusual_ip_change,необычная смена IP-адреса,657.65,185.220.100.23,login
user_100,2025-01-07 08:48:31,unusual_ip_change,необычная смена IP-адреса,1092.13,185.220.100.115,login
user_019,2025-01-07 08:56:35,brute_force_login,много неуспешных входов,410.71,10.20.246.53,login
user_048,2025-01-07 09:07:48,unusual_ip_change,необычная смена IP-адреса,910.97,185.220.100.150,login
user_093,2025-01-07 09:17:24,unusual_ip_change,необычная смена IP-адреса,2050.19,185.220.100.23,login
user_077,2025-01-07 10:14:06,brute_force_login,много неуспешных входов,1263.06,10.20.50.195,login
user_066,2025-01-07 10:35:12,brute_force_login,много неуспешных входов,605.39,10.10.195.139,login
user_053,2025-01-07 10:44:51,brute_force_login,много неуспешных входов,645.46,10.20.12.164,login
user_013,2025-01-07 10:58:41,data_exfiltration,резкий рост исходящего трафика,43293.08,10.10.23.55,file_access
user_053,2025-01-07 11:09:20,data_exfiltration,резкий рост исходящего трафика,442899.64,10.20.12.164,file_access
user_006,2025-01-07 11:30:14,brute_force_login,много неуспешных входов,429.68,10.10.119.123,login
user_019,2025-01-07 11:31:38,brute_force_login,много неуспешных входов,688.82,10.20.246.53,login
user_003,2025-01-07 11:41:09,unusual_ip_change,необычная смена IP-адреса,810.74,185.220.100.116,login
user_052,2025-01-07 11:57:20,data_exfiltration,резкий рост исходящего трафика,148758.3,10.20.126.58,file_access
user_046,2025-01-07 11:58:16,unusual_ip_change,необычная смена IP-адреса,1235.5,185.220.100.98,login
user_096,2025-01-07 13:00:20,brute_force_login,много неуспешных входов,343.57,10.20.61.79,login
user_074,2025-01-07 13:12:58,unusual_ip_change,необычная смена IP-адреса,1094.58,185.220.100.194,login
user_026,2025-01-07 13:26:18,data_exfiltration,резкий рост исходящего трафика,125333.28,10.10.245.90,file_access
user_008,2025-01-07 13:27:02,data_exfiltration,резкий рост исходящего трафика,37999.93,10.10.121.200,file_access
user_015,2025-01-07 13:58:08,unusual_ip_change,необычная смена IP-адреса,2868.82,185.220.100.106,login
user_047,2025-01-07 14:11:01,brute_force_login,много неуспешных входов,668.06,10.10.135.240,login
user_052,2025-01-07 14:28:45,brute_force_login,много неуспешных входов,653.25,10.10.217.220,login
user_067,2025-01-07 14:35:14,unusual_ip_change,необычная смена IP-адреса,1267.23,185.220.100.59,login
user_038,2025-01-07 14:49:51,data_exfiltration,резкий рост исходящего трафика,31985.24,10.20.239.42,file_access
user_087,2025-01-07 15:07:14,unusual_ip_change,необычная смена IP-адреса,1516.37,185.220.100.195,login
user_070,2025-01-07 15:08:01,data_exfiltration,резкий рост исходящего трафика,24572.06,10.20.45.20,file_access
user_076,2025-01-07 15:14:11,data_exfiltration,резкий рост исходящего трафика,128396.86,10.20.174.64,file_access
user_068,2025-01-07 15:16:26,unusual_ip_change,необычная смена IP-адреса,1101.39,185.220.100.222,login
user_069,2025-01-07 15:28:16,brute_force_login,много неуспешных входов,623.1,10.10.80.37,login
user_089,2025-01-07 15:49:34,brute_force_login,много неуспешных входов,642.37,10.10.235.154,login
user_010,2025-01-07 15:57:37,brute_force_login,много неуспешных входов,500.55,10.10.174.180,login
user_083,2025-01-07 16:50:29,brute_force_login,много неуспешных входов,363.3,10.10.56.30,login
user_071,2025-01-07 17:39:30,brute_force_login,много неуспешных входов,460.5,10.20.252.138,login
user_006,2025-01-07 22:11:06,unusual_night_activity,активность в нетипичное ночное время,2988.61,10.20.139.235,web_request
user_072,2025-01-07 22:16:20,unusual_night_activity,активность в нетипичное ночное время,4291.84,10.20.31.115,email_access
user_050,2025-01-07 23:04:22,unusual_night_activity,активность в нетипичное ночное время,2923.88,10.20.181.127,web_request
user_071,2025-01-08 00:40:54,unusual_night_activity,активность в нетипичное ночное время,3946.26,10.20.252.138,email_access
user_072,2025-01-08 00:50:20,unusual_night_activity,активность в нетипичное ночное время,2961.73,10.20.31.115,file_access
user_067,2025-01-08 01:37:30,unusual_night_activity,активность в нетипичное ночное время,4940.0,10.10.184.157,file_access
user_036,2025-01-08 03:32:29,unusual_night_activity,активность в нетипичное ночное время,7817.28,10.20.17.89,web_request
user_014,2025-01-08 05:05:26,unusual_night_activity,активность в нетипичное ночное время,2259.92,10.10.54.244,web_request
user_038,2025-01-08 08:35:02,unusual_ip_change,необычная смена IP-адреса,1657.27,185.220.100.13,login
user_021,2025-01-08 08:44:57,data_exfiltration,резкий рост исходящего трафика,78991.56,10.10.32.176,file_access
user_072,2025-01-08 08:53:41,brute_force_login,много неуспешных входов,765.22,10.20.31.115,login
user_090,2025-01-08 09:36:35,brute_force_login,много неуспешных входов,566.12,10.20.150.245,login
user_049,2025-01-08 10:38:07,brute_force_login,много неуспешных входов,652.6,10.10.234.70,login
user_043,2025-01-08 11:06:34,data_exfiltration,резкий рост исходящего трафика,59571.23,10.10.191.174,file_access
user_032,2025-01-08 11:07:44,brute_force_login,много неуспешных входов,558.7,10.10.243.232,login
user_022,2025-01-08 11:09:19,unusual_ip_change,необычная смена IP-адреса,1323.43,185.220.100.189,login
user_002,2025-01-08 11:28:08,brute_force_login,много неуспешных входов,568.63,10.10.24.36,login
