sequence_index,y_true,reconstruction_error,pred
232,1,176994.28,0
233,0,116990.41,0
234,1,145928.05,0
235,1,175431.92,0
236,0,153366.06,0
237,1,166282.88,0
238,1,185627.98,1
239,0,75469.09,0
240,0,129281.13,0
241,0,107798.28,0
242,1,139552.8,0
243,1,98146.67,0
244,0,162687.6,0
245,0,184662.62,1
246,0,90682.3,0
247,1,95576.59,0
248,1,127303.29,0
249,0,69667.66,0
250,0,149575.73,0
251,1,178118.86,1
252,1,70480.34,0
253,1,96250.88,0
254,0,111910.23,0
255,1,179169.08,1
256,0,145888.84,0
257,1,113480.72,0
258,1,69568.9,0
259,0,137228.19,0
260,1,137959.45,0
261,1,128969.43,0
262,1,140275.22,0
263,0,183512.86,1
264,0,119592.2,0
265,0,230015.86,1
266,1,135176.66,0
267,1,184987.81,1
268,1,125997.41,0
269,0,165580.66,0
270,1,138972.42,0
271,1,152767.31,0
272,1,135775.16,0
273,0,77752.44,0
274,0,106736.51,0
275,0,204134.84,1
276,0,120567.07,0
277,0,115643.98,0
278,0,132755.55,0
279,0,126618.52,0
280,1,184853.64,1
281,0,127544.94,0
282,1,170341.36,0
283,1,80442.81,0
284,0,200769.84,1
285,1,100355.89,0
286,1,155542.75,0
287,1,158959.56,0
288,1,77916.055,0
289,0,91481.22,0
290,0,114070.58,0
291,0,123266.28,0
292,1,75484.85,0
293,0,137015.16,0
294,0,129286.03,0
295,0,156494.48,0
296,0,105721.36,0
297,1,46642.066,0
298,0,71726.01,0
299,0,146887.23,0
300,0,150171.89,0
301,0,97993.95,0
302,1,141832.9,0
303,0,131568.94,0
304,0,85688.05,0
305,1,119837.15,0
306,0,130515.79,0
307,0,167571.38,0
308,1,127546.76,0
309,0,70741.77,0
310,1,52182.06,0
311,1,94163.4,0
312,0,147762.06,0
313,1,133405.4,0
314,0,136026.62,0
315,0,116119.9,0
316,0,156119.28,0
317,1,137586.02,0
318,1,103009.38,0
319,0,130148.4,0
320,0,110289.8,0
321,0,106974.06,0
322,1,150856.39,0
323,1,95587.79,0
324,0,63590.496,0
325,0,146407.2,0
326,1,138289.81,0
327,0,94305.38,0
328,0,118185.64,0
329,1,90809.3,0
330,1,96406.52,0
331,1,136996.86,0
332,1,113325.03,0
333,0,76937.17,0
334,0,94113.36,0
335,1,111992.64,0
336,1,135158.56,0
337,1,110969.26,0
338,0,131168.16,0
339,0,141087.02,0
340,0,103407.48,0
341,0,160179.02,0
342,1,125979.87,0
343,0,115093.94,0
344,1,134504.98,0
345,0,106356.04,0
346,1,136821.11,0
347,0,63745.44,0
348,0,96570.77,0
349,0,135628.12,0
350,1,77370.375,0
351,0,193950.4,1
352,1,142258.98,0
353,0,147511.9,0
354,0,108978.49,0
355,1,105185.1,0
356,0,69935.37,0
357,0,159708.84,0
358,1,108562.11,0
359,0,51110.89,0
360,0,124233.93,0
361,1,76494.984,0
362,1,158518.22,0
363,0,82936.47,0
364,0,77751.76,0
365,1,158861.98,0
366,0,134245.88,0
367,0,97113.65,0
368,0,102799.0,0
369,0,117496.77,0
370,1,80431.81,0
371,1,134390.14,0
372,1,62909.574,0
373,1,106465.23,0
374,1,212015.52,1
375,1,88179.49,0
376,1,127218.93,0
377,0,31813.88,0
378,0,132336.16,0
379,0,128487.41,0
380,0,88607.75,0
381,0,173452.16,0
382,0,169237.28,0
383,1,147758.38,0
384,0,131161.06,0
385,1,78845.67,0
386,1,145255.22,0
387,1,154232.97,0
388,0,146865.45,0
389,1,188838.94,1
390,0,123699.05,0
391,0,108184.9,0
392,1,106381.11,0
393,0,116345.86,0
394,1,74179.84,0
395,1,138190.31,0
396,1,126466.64,0
397,0,92192.22,0
398,0,102152.73,0
399,0,87413.86,0
400,1,81309.63,0
401,1,146372.88,0
402,1,125263.8,0
403,0,125611.19,0
404,1,185773.55,1
405,0,165404.9,0
406,1,75274.69,0
407,0,129576.56,0
408,1,51736.37,0
409,0,147811.95,0
410,0,126940.47,0
411,0,128020.0,0
412,0,167218.27,0
413,1,201300.44,1
414,1,93711.85,0
415,0,143142.22,0
416,1,108746.81,0
417,0,91000.43,0
418,1,172907.62,0
419,1,62668.04,0
420,1,89261.4,0
421,1,81386.11,0
422,0,178168.12,1
423,1,81029.16,0
424,1,162119.77,0
425,0,143300.62,0
426,1,79528.38,0
427,1,195151.16,1
428,1,144163.86,0
429,0,120548.65,0
430,1,128889.02,0
431,0,73533.52,0
432,0,129546.02,0
433,0,189494.8,1
434,0,142161.88,0
435,1,106811.61,0
436,0,163337.9,0
437,1,157188.42,0
438,1,151715.62,0
439,1,161271.33,0
440,0,94020.3,0
441,0,135017.3,0
442,1,135493.84,0
443,0,77120.51,0
444,0,139353.53,0
445,1,158954.03,0
446,1,154118.11,0
447,1,234151.02,1
448,0,153354.67,0
449,1,141708.47,0
450,1,107648.08,0
451,1,157519.23,0
452,0,134711.94,0
453,0,145328.27,0
454,0,153852.12,0
455,1,105048.45,0
456,1,114525.11,0
457,0,120219.66,0
458,0,75125.06,0
459,0,100714.18,0
460,0,124800.2,0
461,0,181686.8,1
462,0,127549.42,0
463,1,148645.94,0
464,0,126472.9,0
465,0,108275.19,0
466,1,77064.89,0
467,0,133407.34,0
468,1,73112.4,0
469,0,91607.37,0
470,0,83235.55,0
471,1,112432.23,0
472,1,111953.34,0
473,0,117963.83,0
474,0,134171.52,0
475,0,180022.45,1
476,1,115841.45,0
477,0,236713.72,1
478,1,155597.67,0
479,1,156553.45,0
480,1,67081.06,0
481,0,114419.63,0
482,0,137643.9,0
483,1,90299.35,0
484,0,125633.94,0
485,1,174967.92,0
486,0,110321.72,0
487,1,99221.3,0
488,1,173165.45,0
489,1,106239.92,0
490,0,145666.23,0
491,0,93009.75,0
492,1,118610.77,0
493,1,169605.1,0
494,0,100495.34,0
495,0,104866.69,0
496,0,130394.96,0
497,1,174231.16,0
498,0,137865.44,0
499,0,121464.15,0
500,1,176796.42,0
501,1,148210.69,0
502,1,160587.58,0
503,0,102482.69,0
504,1,108832.74,0
505,1,156534.84,0
506,1,170259.84,0
507,0,146727.5,0
508,0,137340.6,0
509,0,109103.14,0
510,0,220621.27,1
511,0,124908.67,0
512,1,146000.67,0
513,0,112914.7,0
514,1,82304.58,0
515,1,113305.54,0
516,0,155757.23,0
517,0,91333.31,0
518,1,120762.57,0
519,1,147266.34,0
520,0,132435.56,0
521,0,125563.96,0
522,0,79566.766,0
523,0,174769.3,0
524,1,162586.81,0
525,0,100936.99,0
526,1,190947.5,1
527,0,201373.73,1
528,1,127936.23,0
529,0,75383.5,0
530,1,83063.445,0
531,0,183812.81,1
532,1,102754.64,0
533,0,137251.44,0
534,0,61090.066,0
535,0,130243.46,0
536,0,144397.23,0
537,1,107265.69,0
538,1,200969.3,1
539,0,179552.5,1
540,1,167633.86,0
541,0,143501.45,0
542,1,124529.12,0
543,0,108747.29,0
544,1,171438.05,0
545,0,173571.34,0
546,0,120843.94,0
547,1,87048.82,0
548,1,141849.08,0
549,1,130656.34,0
550,1,104881.95,0
551,0,118786.3,0
552,1,74780.15,0
553,1,163947.1,0
554,0,121795.23,0
555,0,85382.99,0
556,0,132288.25,0
557,1,109831.12,0
558,0,139101.22,0
559,0,132988.73,0
560,1,176074.69,0
561,0,174962.12,0
562,0,171372.14,0
563,0,101228.71,0
564,1,175261.14,0
565,0,120474.66,0
566,0,132237.22,0
567,0,210235.45,1
568,0,142461.31,0
569,0,78745.05,0
570,0,138514.34,0
571,1,187218.48,1
572,1,185514.42,1
573,0,183597.5,1
574,0,111607.49,0
575,1,144334.45,0
576,0,62698.285,0
577,1,136058.17,0
578,1,208969.9,1
579,0,96263.37,0
580,1,151206.12,0
581,0,172645.9,0
582,1,137775.95,0
583,0,182635.42,1
584,0,91393.94,0
585,0,128957.36,0
586,1,120858.41,0
587,1,200145.69,1
588,0,117312.05,0
589,0,163044.95,0
590,1,95763.82,0
591,1,157382.14,0
592,1,168236.81,0
593,0,79127.07,0
594,1,77043.66,0
595,0,88354.63,0
596,0,82333.82,0
597,1,93495.41,0
598,0,99084.62,0
599,1,168732.27,0
600,0,87841.8,0
601,1,135731.52,0
602,1,132188.11,0
603,1,123725.01,0
604,0,71729.56,0
605,0,112362.3,0
606,1,130316.63,0
607,0,178154.56,1
608,0,76170.94,0
609,1,170636.05,0
610,1,129790.8,0
611,1,76764.25,0
612,0,90660.88,0
613,0,149782.39,0
614,0,173503.73,0
615,1,92853.61,0
616,1,48897.836,0
617,0,120476.38,0
618,1,161205.6,0
619,0,57332.637,0
620,1,100605.47,0
621,0,97389.01,0
622,0,126235.25,0
623,0,145544.69,0
624,1,101392.89,0
625,1,80956.82,0
626,0,82965.945,0
627,0,93502.45,0
628,1,116197.27,0
629,0,121346.53,0
630,1,111831.81,0
631,1,131418.48,0
632,0,115205.38,0
633,1,114760.49,0
634,1,106215.13,0
635,0,111460.48,0
636,1,177512.81,0
637,1,90007.92,0
638,0,143382.23,0
639,0,65251.9,0
640,1,191275.98,1
641,0,134461.88,0
642,0,138878.12,0
643,0,118972.78,0
644,1,52846.33,0
645,1,86443.21,0
646,0,121466.19,0
647,1,134401.94,0
648,1,61919.48,0
649,0,90407.21,0
650,1,76065.7,0
651,0,207090.81,1
652,1,146518.28,0
653,0,81403.0,0
654,1,84096.89,0
655,1,222955.14,1
656,1,153947.36,0
657,0,171312.0,0
658,1,104640.92,0
659,1,132477.94,0
660,1,140734.12,0
661,0,119400.55,0
662,0,156096.9,0
663,0,198996.44,1
664,0,159577.98,0
665,1,115008.26,0
666,1,140469.16,0
667,1,93823.97,0
668,1,170833.5,0
669,0,118812.26,0
670,0,158864.48,0
671,1,120700.33,0
672,1,143622.1,0
673,0,97331.46,0
674,1,181282.73,1
675,1,94200.09,0
676,1,207227.69,1
677,0,140157.19,0
678,1,118787.06,0
679,1,124643.82,0
680,1,172439.77,0
681,0,144963.73,0
682,0,152350.66,0
683,1,121875.03,0
684,1,47664.414,0
685,1,165312.61,0
686,0,111283.32,0
687,0,140374.83,0
688,0,97202.85,0
689,0,152680.27,0
690,0,114891.84,0
691,1,121592.2,0
692,1,132205.69,0
693,0,100387.53,0
694,1,189446.58,1
695,1,111340.14,0
696,0,96162.19,0
697,0,150722.55,0
698,0,139123.53,0
699,1,135820.88,0
700,1,95342.15,0
701,0,68927.41,0
702,1,159190.53,0
703,0,135522.83,0
704,1,114262.88,0
705,0,136213.31,0
706,1,148017.0,0
707,1,160044.47,0
708,0,195042.4,1
709,1,154295.22,0
710,0,64168.113,0
711,0,93745.7,0
712,0,78344.02,0
713,0,111078.96,0
714,0,86287.54,0
715,0,149685.62,0
716,1,110497.82,0
717,1,126093.25,0
718,1,140908.2,0
719,0,109701.3,0
720,1,101480.48,0
721,0,140504.56,0
722,1,115794.13,0
723,0,143375.23,0
724,0,187439.66,1
725,1,159595.14,0
726,0,133741.39,0
727,0,220259.16,1
728,1,113294.02,0
729,0,114866.71,0
730,0,115671.84,0
731,0,103025.17,0
732,0,144085.34,0
733,0,137096.12,0
734,0,93355.01,0
735,0,145505.8,0
736,1,134534.98,0
737,1,80658.73,0
738,0,218546.48,1
739,0,114271.24,0
740,1,114252.84,0
741,0,58269.23,0
742,0,152510.48,0
743,1,46849.14,0
744,1,105820.1,0
745,0,83430.17,0
746,1,85280.57,0
747,0,95211.47,0
748,0,103487.94,0
749,1,169853.08,0
750,1,90604.96,0
751,0,140641.56,0
752,0,67612.086,0
753,1,71665.91,0
754,1,137850.44,0
755,1,172621.62,0
756,0,123785.07,0
757,1,139210.0,0
758,1,92622.76,0
759,1,101559.78,0
760,1,68258.78,0
761,0,152705.11,0
762,0,129055.83,0
763,0,105645.86,0
764,1,61601.09,0
765,1,162533.75,0
766,0,111032.8,0
767,1,125528.16,0
768,0,95969.56,0
769,0,125444.86,0
770,0,102516.99,0
771,1,119795.65,0
772,1,91213.15,0
773,0,142426.34,0
774,1,80375.07,0
775,0,205034.28,1
776,0,105188.67,0
777,0,110411.31,0
778,0,115315.08,0
779,1,116844.62,0
780,1,84042.5,0
781,1,102430.96,0
782,0,132529.27,0
783,1,112581.82,0
784,1,88141.7,0
785,1,105567.17,0
786,0,130420.0,0
787,1,136985.5,0
788,0,99406.34,0
789,0,127969.07,0
790,1,159446.2,0
791,1,171761.92,0
792,1,113768.63,0
793,1,85398.02,0
794,0,164586.94,0
795,0,111607.22,0
796,0,112955.58,0
797,1,123045.31,0
798,1,93705.99,0
799,1,118418.01,0
800,0,87490.59,0
801,1,71230.41,0
802,1,109629.39,0
803,1,135697.61,0
804,0,90013.26,0
805,0,128933.15,0
806,1,84015.42,0
807,0,152890.73,0
808,0,106749.01,0
809,0,132418.53,0
810,0,162628.39,0
811,1,100018.2,0
812,1,137428.28,0
813,0,120818.02,0
814,1,134580.88,0
815,1,115173.06,0
816,1,64538.43,0
817,0,148671.94,0
818,1,86340.29,0
819,1,78888.99,0
820,1,169354.78,0
821,1,90475.55,0
822,0,153711.3,0
823,0,138818.66,0
824,1,113720.08,0
825,1,159691.84,0
826,0,151464.42,0
827,1,130411.57,0
828,0,136613.28,0
829,0,155446.06,0
830,0,92240.22,0
831,0,147293.94,0
832,1,78153.7,0
833,0,100554.3,0
834,1,107970.81,0
835,0,118928.89,0
836,0,123250.64,0
837,0,145462.12,0
838,0,146183.95,0
839,1,123921.99,0
840,1,127647.49,0
841,0,181767.28,1
842,1,97914.62,0
843,0,138100.16,0
844,1,129092.58,0
845,0,154086.31,0
846,0,43740.79,0
847,0,108739.52,0
848,1,128961.95,0
849,1,107930.38,0
850,1,103869.33,0
851,0,46212.176,0
852,1,115607.62,0
853,0,159536.02,0
854,0,160766.05,0
855,0,110037.14,0
856,1,122948.48,0
857,1,93921.63,0
858,1,170790.52,0
859,0,83316.68,0
860,1,105551.19,0
861,1,145663.06,0
862,1,98909.74,0
863,1,91421.43,0
864,0,99430.24,0
865,0,160333.95,0
866,0,87506.46,0
867,1,142514.14,0
868,1,104085.62,0
869,1,119204.84,0
870,0,138738.33,0
871,0,178771.22,1
872,1,139202.52,0
873,1,160860.44,0
874,1,90529.25,0
875,0,139996.89,0
876,0,129278.33,0
877,0,110045.86,0
878,0,88399.7,0
879,0,144341.81,0
880,0,160592.77,0
881,0,113265.6,0
882,1,73174.76,0
883,1,152016.88,0
884,1,118654.98,0
885,1,125061.54,0
886,0,85715.45,0
887,0,100706.16,0
888,0,138605.77,0
889,1,115913.75,0
890,1,147882.56,0
891,1,151172.02,0
892,1,139895.84,0
893,1,107160.59,0
894,1,113807.98,0
895,0,163836.6,0
896,0,119940.31,0
897,1,213549.58,1
898,0,96458.93,0
899,0,32099.057,0
900,1,62412.64,0
901,0,119880.32,0
902,1,130322.71,0
903,1,76889.63,0
904,0,150128.34,0
905,0,134507.4,0
906,0,127193.64,0
907,0,104522.74,0
908,0,66667.95,0
909,0,99845.5,0
910,0,168688.0,0
911,1,118958.56,0
912,0,135752.12,0
913,1,119311.22,0
914,0,89915.74,0
915,0,103024.32,0
916,0,156432.88,0
917,1,139977.25,0
918,0,126935.81,0
919,0,68533.44,0
920,0,130747.4,0
921,1,177617.42,0
922,0,182467.2,1
923,0,115191.69,0
924,0,143975.11,0
925,0,102635.97,0
926,1,112745.61,0
927,0,151977.25,0
928,0,166390.8,0
929,0,154339.17,0
930,0,152556.23,0
931,1,135857.67,0
932,1,77196.984,0
933,0,99632.92,0
934,1,136044.53,0
935,1,94197.58,0
936,1,83356.016,0
937,1,61714.68,0
938,1,154526.44,0
939,0,134943.27,0
940,0,101402.55,0
941,0,137275.62,0
942,0,78399.55,0
943,1,122771.14,0
944,1,129012.65,0
945,0,161364.45,0
946,0,138407.7,0
947,1,117474.03,0
948,0,122836.25,0
949,0,120462.84,0
950,1,152651.02,0
951,1,127715.52,0
952,0,124103.01,0
953,0,161241.78,0
954,0,82681.04,0
955,1,78535.02,0
956,0,130243.96,0
957,1,159551.72,0
958,0,177266.42,0
959,0,123943.91,0
960,1,171960.12,0
961,1,137573.52,0
962,1,89985.8,0
963,1,204168.5,1
964,1,120103.38,0
965,0,108255.04,0
966,1,123594.13,0
967,0,110692.81,0
968,1,116149.69,0
969,0,134772.62,0
970,0,115887.72,0
971,1,236334.22,1
972,0,125702.19,0
973,0,140172.6,0
974,0,134115.31,0
975,1,173665.7,0
976,1,133166.05,0
977,1,118847.91,0
978,0,82237.31,0
979,1,85667.62,0
980,1,250714.6,1
981,0,104823.01,0
982,0,149308.4,0
983,1,160584.69,0
984,0,147426.95,0
985,0,133481.45,0
986,0,138485.22,0
987,0,95315.73,0
988,0,151775.6,0
989,0,62573.715,0
990,1,83862.77,0
991,1,130294.58,0
992,1,114599.95,0
993,0,153210.12,0
994,1,105973.47,0
995,1,125313.82,0
996,0,95751.15,0
997,0,91912.54,0
998,0,81859.164,0
999,1,108544.11,0
1000,1,89971.82,0
1001,1,172778.16,0
1002,1,180159.3,1
1003,1,155807.88,0
1004,1,87033.32,0
1005,1,113058.35,0
1006,1,95819.24,0
1007,0,124643.57,0
1008,1,155915.69,0
1009,0,148717.11,0
1010,0,96324.96,0
1011,0,132598.05,0
1012,1,99710.7,0
1013,1,108569.69,0
1014,0,66124.95,0
1015,1,140861.92,0
1016,1,159441.27,0
1017,0,185754.78,1
1018,0,58104.83,0
1019,0,93946.85,0
1020,0,118450.2,0
1021,0,163012.86,0
1022,1,92687.61,0
1023,0,132715.19,0
1024,0,119905.9,0
1025,1,91047.52,0
1026,0,135804.14,0
1027,1,103541.73,0
1028,1,161222.36,0
1029,0,65459.98,0
1030,1,146992.75,0
1031,0,83714.05,0
1032,1,71710.19,0
1033,1,96411.78,0
1034,1,118862.63,0
1035,1,152092.67,0
1036,1,83586.63,0
1037,0,214321.2,1
1038,1,154872.6,0
1039,0,82092.8,0
1040,0,119854.18,0
1041,0,138553.12,0
1042,0,73284.38,0
1043,1,100952.78,0
1044,0,167612.28,0
1045,0,74658.945,0
1046,0,104490.2,0
1047,0,130345.39,0
1048,0,150104.02,0
1049,1,102624.58,0
1050,0,94915.23,0
1051,0,165217.94,0
1052,0,137836.86,0
1053,0,155065.11,0
1054,1,186664.64,1
1055,1,141610.81,0
1056,0,121982.28,0
1057,1,95940.89,0
1058,1,77083.3,0
1059,0,159888.36,0
1060,0,109187.73,0
1061,0,84923.79,0
1062,1,153463.42,0
1063,0,110342.06,0
1064,1,89308.46,0
1065,0,69975.01,0
1066,0,106333.63,0
1067,0,127712.58,0
1068,1,141964.06,0
1069,1,162810.62,0
1070,1,94670.92,0
1071,0,110945.98,0
1072,1,102700.48,0
1073,1,85831.1,0
1074,0,73716.97,0
1075,1,143574.9,0
1076,0,139472.48,0
1077,0,51506.7,0
1078,0,87758.97,0
1079,1,153235.84,0
1080,1,171086.3,0
1081,0,93600.1,0
1082,0,96477.86,0
1083,1,84487.58,0
1084,0,145206.45,0
1085,0,151158.16,0
1086,1,89922.77,0
1087,1,74977.99,0
1088,0,183546.22,1
1089,0,135995.98,0
1090,1,158559.44,0
1091,0,139462.31,0
1092,0,59193.18,0
1093,0,149615.02,0
1094,0,111819.84,0
1095,0,118510.31,0
1096,1,170060.44,0
1097,0,96727.33,0
1098,1,79944.99,0
1099,1,118327.13,0
1100,0,199202.9,1
1101,1,168090.1,0
1102,0,194005.28,1
1103,0,81591.76,0
1104,0,155866.72,0
1105,0,130516.52,0
1106,0,134720.02,0
1107,1,98846.33,0
1108,0,156285.1,0
1109,0,170661.66,0
1110,0,144023.53,0
1111,1,119356.97,0
1112,0,86068.19,0
1113,1,40263.016,0
1114,1,148316.8,0
1115,0,100641.42,0
1116,0,185015.8,1
1117,0,108816.55,0
1118,0,78542.484,0
1119,0,76582.63,0
1120,1,113310.71,0
1121,1,150279.86,0
1122,0,147738.11,0
1123,1,112469.81,0
1124,0,122442.75,0
1125,1,114501.68,0
1126,0,164098.88,0
1127,1,154609.16,0
1128,1,145804.81,0
1129,1,139101.6,0
1130,0,146392.34,0
1131,1,85982.65,0
1132,0,152864.0,0
1133,1,88043.94,0
1134,1,101007.29,0
1135,0,131448.2,0
1136,1,73476.53,0
1137,0,91856.55,0
1138,0,125023.03,0
1139,0,122375.87,0
1140,0,73692.24,0
1141,0,105263.94,0
1142,1,152794.64,0
1143,1,181469.72,1
1144,0,61664.016,0
1145,0,62796.945,0
1146,0,82383.29,0
1147,0,120305.57,0
1148,0,101442.54,0
1149,1,86194.13,0
1150,0,67189.87,0
1151,0,53262.086,0
1152,1,89844.59,0
1153,0,145079.95,0
1154,1,181227.88,1
1155,1,134393.16,0
1156,0,149202.05,0
1157,1,82817.6,0
1158,0,111087.14,0
1159,0,137453.95,0
1160,1,128794.0,0
1161,1,105195.89,0
1162,0,95541.14,0
1163,0,124002.66,0
1164,0,135014.06,0
1165,0,135182.2,0
1166,1,155871.1,0
1167,0,83618.51,0
1168,1,160370.94,0
1169,1,104036.63,0
1170,0,85341.34,0
1171,0,167449.6,0
1172,0,106192.78,0
1173,0,80408.15,0
1174,0,176194.08,0
1175,1,115423.33,0
1176,1,193177.14,1
1177,0,160196.98,0
1178,0,147395.05,0
1179,1,131362.3,0
1180,0,62846.63,0
1181,0,138041.11,0
1182,0,203394.5,1
1183,0,139600.31,0
1184,0,103648.28,0
1185,0,98462.79,0
1186,0,138085.52,0
1187,0,113469.54,0
1188,0,143215.4,0
1189,0,84902.04,0
1190,1,94342.18,0
1191,1,111260.47,0
1192,0,86151.4,0
1193,0,114147.93,0
1194,0,77542.27,0
1195,0,90467.05,0
1196,0,122021.34,0
1197,0,84112.32,0
1198,0,100893.2,0
1199,1,168434.45,0
1200,0,98135.28,0
1201,0,187648.69,1
1202,1,74252.22,0
1203,0,115769.58,0
1204,1,140382.73,0
1205,0,110910.51,0
1206,1,117480.23,0
1207,1,161605.77,0
1208,1,66294.98,0
1209,1,132124.56,0
1210,0,87161.81,0
1211,0,127328.42,0
1212,1,163375.94,0
1213,1,168203.98,0
1214,1,79583.55,0
1215,0,152136.53,0
1216,1,166229.69,0
1217,1,106624.05,0
1218,0,53675.05,0
1219,0,100747.33,0
1220,0,129188.79,0
1221,0,159069.61,0
1222,0,81205.15,0
1223,1,113332.55,0
1224,1,154271.45,0
1225,1,117542.26,0
1226,1,118021.83,0
1227,0,205147.44,1
1228,1,127008.97,0
1229,0,114685.07,0
1230,0,116311.29,0
1231,1,117167.41,0
1232,0,172308.9,0
1233,0,75968.625,0
1234,1,119235.58,0
1235,1,153163.38,0
1236,0,134371.39,0
1237,0,145640.17,0
1238,0,159813.25,0
1239,0,152466.98,0
1240,0,127046.87,0
1241,1,60711.88,0
1242,1,83958.87,0
1243,1,123108.92,0
1244,1,80266.63,0
1245,0,116562.03,0
